Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
power-bank-wedding-s,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Black_Power_bank.jpg?v=1491815469,2,,,,,,,,,,,,,,,,,,,,
suitcase-travel-tags,Suitcase travel tags,"<p>These colourful suitcase travel tags are perfect thank you gifts for any event where you are celebrating travelling or planning to see the world, be it a 21st, a cruise ship or overseas wedding or a 60th birthday celebrating your ability to finally retire and see the world!</p>
<p>The suitcase travel tags measures 5,5 x 9,5 x 0,4cm and can be personalised with a message of your choice.  Contact us for a quote on personalisation at <a href=""info@simplys.co.za"" title=""E-mail us for a personalisation quote"">info@simplys.co.za</a>.</p>",Macma,Practical,"21st, 60th, birthday, blue, colourful, cruise ship wedding, gifts, green, guests, lime, luggage, orange, pink, purple, red, s, suitcase, tag, thank you, travel, turquoise, wedding, white, yellow",true,Color,White,,,,,6791804,120,shopify,1931,deny,manual,13.50,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Suitecase_travel_Tag.jpg?v=1491815465,1,Colourful suitcase travel tag gifts,false,,Colourful suitcase travel tags are perfect thank you gifts avid travellers.  Can be personalised with a message of your choice.,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Suitecase_travel_Tag_White.jpg?v=1491815465,kg,
suitcase-travel-tags,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Suitecase_travel_Tag_White.jpg?v=1491815465,2,,,,,,,,,,,,,,,,,,,,
orange-and-lemon-candles,Oranges & Lemons Candles in Silver Pails (Set of 2 candles),"<p>Oranges and lemons! This set of two candles, one with a lemon fragrance and the other orange, are the perfect s for a rustic autumn or winter wedding. These also make great decor pieces. We can Personalise the little pails for you with a message of your choice.</p>
<p>Pails measure 13cm x 11cm </p>
<p><br>Contact us at info@simplys.co.za for a quote on personalization</p>",Macma,Practical,"autumn, candle, gift, guest, guests, lemon, metal, orange, pail, practical, s, sale, thank you, wedding, winter",true,Title,Default Title,,,,,8460607,150,shopify,402,continue,manual,45.00,55.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/bucket-candle.jpg?v=1491815463,1,Oranges & Lemons Candles in Silver Pails,false,,"This set of two candles, one with a lemon fragrance and the other orange, are the perfect s for a rustic autumn or winter wedding. ",,,,,,,,,,,,,,,kg,
luxurious-soft-white-bathrobe-and-bath-set,Luxurious soft white bathrobe and bath set,"<p><span>Spoil that special someone with a wellness gift set which includes a delicately perfumed shower gel, body lotion, hand cream, a shower sponge and a luxurious soft white bathrobe to use when you jump out of the bath.</span></p>
<p><span>Great pamper gifts to give to the mom-to-be or bride-to-be or mother of the bride or bridal party at the bridal shower or at a pamper party. </span></p>
<p><span>Presented in a beautiful gift box with a ribbon.</span></p>",Macma,Pamper,"bath, bathrobe, bridal shower, gifts, gown, pamper, shower",true,Title,Default Title,,,,,BTR052,1700,shopify,51,continue,manual,550.00,800.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Bath_set_with_bathrobe.jpg?v=1491815461,1,Soft white bath robe,false,,"Wellness gift set with a delicately perfumed shower gel, body lotion, hand cream, a shower sponge and a luxurious soft white bathrobe",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Bath_set_with_bathrobe.jpg?v=1491815461,kg,
laughter-can-koozie,Can Cooler or Koozie - To have and to hold and to keep your beer cold,"<p>These new can coolers or koozies are a great way of bringing some humour and fun into your wedding. Give your guests a can cooler or koozie as a  and they will love and use them for many years after your wedding at a braai or even at the rugby, they read - To have and to hold and to keep your beer cold. Made from neoprene.</p>",Kevro,Practical,"beer, can, cold, cooler, guests, koozie, laughter, love, neoprene, practical, to have and to hold, wedding",false,Colour,Light Blue,,,,,BH0001,0,shopify,4,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/can-cooler-template--LIGHT-BLUE.jpg?v=1491815460,1,Can cooler or koozie,false,,Can cooler or koozies are practical and adds fun to your wedding or party. To have and to hold and to keep your beer cold. Made from neoprene.,,,,,,,,,,,,,,,kg,
nerdy-geek-retro-glasses,Nerdy Geek Retro Glasses,"<p><span>Join the fashion revolution.. </span><span>Nerdy </span><span>g</span><span>eek </span><span>r</span><span>etro sunglasses for men and women in a variety of trendy colours, UV 400 certified.  Perfect for a warm summer wedding in South Africa.  The retro glasses creates a great photo opportunity!</span></p>
<p>Measuring approximately 14,5cm x 14,5cm x 5cm</p>
<div class=""redcloth"">
<p>Variety of trendy colours including; black, white, blue, green, orange, red, yellow, pink and purple</p>
</div>",Macma,Practical,"black, blue, fashion, geek, green, men, nerdy, orange, pink, purple, red, retro, south africa, summer, sunglasses, white, women, yellow",true,Title,WHITE,,,,,NGR806,0,shopify,0,continue,manual,29.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/nerdy_geek_retro_sunglasses.jpg?v=1491815459,1,Retro sunglass s,false,Nerdy Geek Retro Sunglasses,"Nerdy retro sunglasses for men and women in a variety of trendy colours, UV 400 certified.  Perfect for a warm summer wedding in South Africa. ",,,,,,,,,,,,,,,kg,
metal-clip-money-holder,Metal Clip Money Holder,"<p><span>This mens classic metal clip money holder will be well received by all your male guests.</span></p>
<p><span>Stylish and retro it makes a statement.</span></p>
<p>Product size 6cm x 2,5cm x 1,2cm </p>
<p>Laser Engraving available - print area size 4 x 1,5cm (POR)</p>
<div class=""redcloth"">
<p> </p>
</div>",Macma,Practical,"male, men, metal, money, money clip, money holder, retro, stylish",false,Title,Default Title,,,,,MMC999,13,shopify,0,continue,manual,35.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/money_clip_1.jpg?v=1491815458,1,,false,,,,,,,,,,,,,,,,,g,
leather-luggage-tag,Leather Luggage tag,"<p>These stylish leather luggage tags are great s for destination weddings or as a practical gift, the metal plaque allows for easy identification.  We can even brand the luggage tags for you at an extra costs.  Excellent thank you gift for both men and women who loves to travel</p>",Macma,"","destination wedding, leather, luggage, men, practical, stylish, tag, travel",true,Title,Default Title,,,,,69055,0,shopify,36,continue,manual,38.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Leather_travel_tag.jpg?v=1491815457,1,Stylish leather luggage tag s,false,,"These stylish leather luggage tags are great s for destination weddings or as a practical gift, the metal plaque allows for easy identification",,,,,,,,,,,,,,,kg,
smiling-heart-charm-keyring,Charmed Hearts Keyring,"<p>This adorable keyring with four Smiling Heart Charms will charm all your guests! </p>
<p>The charms are of a high quality and your guests will smile every time they use their practical thank you gifts.</p>
<p><span>Metal keyring with 4 smiling heart charms and a metal plaque for engraving. </span></p>
<p><span>Engraving </span>at an extra cost. </p>
<p><br><span>Size: 9 x 3,5</span> cm</p>",Macma,Practical,"bridal shower, heart, hearts, key, key holder, keyring, keyrings, keys, ladies, practical, smiley, smiling heart",true,Charmed hearts keyring - R32,No engraving - R32,,,,,92121,28,shopify,3094,continue,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Smiling_heart_Keyring.jpg?v=1491815456,1,Smiling Heart Charm keyring s,false,,"Adorable metal keyring with four Smiling Heart Charms. Can be personalised with engraving, great practical gift.",,,,,,,,,,,,,,,g,
metal-handbag-hook,Metal Handbag Hook,"<p>This metal Handbag Hook is a great practical  that your lady guests will adore.  </p>
<p>The handbag hook is made from metal and is of high quality.  Have a personal message engraved on the circle for an additional cost.  Excellent gift if you want to give your guests something practical with a personal message from you.</p>",Macma,"","handbag, handbag hanger, hanger, metal, practical",true,Title,Default Title,,,,,78659,0,shopify,606,continue,manual,32.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Metal_Handbag_holder.jpg?v=1491815453,1,Metal handbag hanger,false,,This metal Handbag Hook is a great practical .  Have a personal message engraved on the circle for an additional cost.,,,,,,,,,,,,,,,kg,
white-mint-tin-sugar-free-mints-included-personalizable,White Mint Tin - sugar free mints included - personalizable,"<p>White metal mint tin with sugar free mints make a fantastic  for any occasion.</p>
<p>Add a personal touch by opting to Personalise these mint tins to make your guests experience just a little more memorable.</p>
<p><span>Measuring 8cm ( l ) x 3.5cm ( w ) x 1.1cm ( h )</span></p>",Amrod,Practical,"mint, personalize, sugar free mints, tin, white",true,Title,Mint tin with Personalized Sticker,,,,,MT002S,29,shopify,223,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/mint_tin.jpg?v=1491815452,1,Mint tins with mints,false,,These new white metal mint tin with sugar free mints can be personalised with a sticker in your colours and per your theme,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/personalized_mint_tin_4.jpg?v=1491815452,g,
white-mint-tin-sugar-free-mints-included-personalizable,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/personalized_mint_tin_4.jpg?v=1491815452,2,,,,,,,,,,,,,,,,,,,,
personalized-mint-tin-mints-included,Personalised Mint Tin - mints included,"<p>These new white metal mint tin with sugar free mints make a fantastic  for any occasion.</p>
<p>Add a personal touch by personalizing your mint tin with a sticker and make your guests experience just a little more memorable.</p>
<p>Our graphic artist will put together a design to suit your theme and colours and we will make sure to get your approval before we go ahead and send to print.</p>
<p>Please allow for up to 4 weeks for delivery of Personalised items.</p>
<p><span>Measuring 8cm ( l ) x 3.5cm ( w ) x 1.1cm ( h )</span></p>",Amrod,Practical,"mint, mint tin, mints, new, personalized, sugar free mints, white",true,Title,Default Title,,,,,MT002S,29,shopify,253,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/personalized-mint-tins_59227fdc-e14c-4d03-97de-6b98c28273c1.jpg?v=1491815449,1,personalised mint tin,false,,These new white metal mint tin with sugar free mints is personalised with a sticker in your colours and per your theme,,,,,,,,,,,,,,,g,
organza-bags-cream,Organza bags - cream,"<p><span>Organza bags can be filled with either sweets or s for the ladies.</span></p>
<p><span>Wedding organza bags are a traditional ite and can be filled with what ever you like.</span></p>
<p><span>These simple but effective bags can hold a variety of chosen items as a picture perfect presentation for your s.</span></p>
<p>Cream organza bags</p>
<p>Bags measure 15.7cm x 8.6cm</p>
<p> </p>",Elegance Novelties,DIY,"bag, bags, cream, organza, organza bags, s",true,Title,Default Title,,,,,OB001C,1,shopify,1000,deny,manual,4.50,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/cream-organza-bag-1.jpg?v=1491815448,1,Organza bags cream,false,Cream organza gift bag,"Cream organza gift bags are part of our ""Do it yourself"" range and can be filled with a small gift or sweets and is very affordable",,,,,,,,,,,,,,,g,
organza-bags-silver,Organza bags - Silver,"<p><span>Organza bags can be filled with either sweets or s for the ladies.</span></p>
<p><span>Wedding organza bags are a traditional ite and can be filled with what ever you like.</span></p>
<p><span>These simple but effective bags can hold a variety of chosen items as a picture perfect presentation for your s.</span></p>
<p>Silver organza bags</p>
<p>Bags measure 15.7cm x 8.6cm</p>",Elegance Novelties,DIY,"bag, bags, organza, organza bag, organza bags, silver",true,Title,Default Title,,,,,OB002S,1,shopify,970,deny,manual,4.50,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/silver-organza-bag-1.jpg?v=1491815446,1,Organza bags silver,false,Silver organza gift bag,"Silver organza gift bags are part of our ""Do it yourself"" range and can be filled with a small gift or sweets and is very affordable",,,,,,,,,,,,,,,g,
organza-bag-white,Organza bag - White,"<p><span>Organza bags can be filled with either sweets or s for the ladies.</span></p>
<p><span>Wedding organza bags are a traditional ite and can be filled with what ever you like.</span></p>
<p><span>These simple but effective bags can hold a variety of chosen items as a picture perfect presentation for your s.</span></p>
<p>White organza bags</p>
<p>Bags measure 15.7cm x 8.6cm</p>",Elegance Novelties,DIY,"bag, bags, organza, organza bag, organza bags, white",true,Title,Default Title,,,,,OB003W,1,shopify,870,deny,manual,4.50,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/white-organza-bags_7de2ff4d-dd70-4dbe-967c-0cbe4126b912.jpg?v=1491815446,1,Organza bags white,false,White organza gift bag,"White organza gift bags are part of our ""Do it yourself"" range and can be filled with a small gift or sweets and is very affordable",,,,,,,,,,,,,,,g,
organza-bags-gold,Organza bags - Gold,"<p><span>Organza bags can be filled with either sweets or s for the ladies.</span></p>
<p><span>Wedding organza bags are a traditional ite and can be filled with what ever you like.</span></p>
<p><span>These simple but effective bags can hold a variety of chosen items as a picture perfect presentation for your s.</span></p>
<p>Gold organza bags</p>
<p>Bags measure 15.7cm x 8.6cm</p>",Elegance Novelties,DIY,"bag, bags, gold, organza, organza bag, organza bags",true,Title,Default Title,,,,,OB004G,1,shopify,750,deny,manual,4.50,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/gold-organza-bag-a_b1045e59-157b-4e18-9b66-37419220e1c6.jpg?v=1491815445,1,Organza bags gold,false,Golden organza gift bag,"Golden organza gift bags are part of our ""Do it yourself"" range and can be filled with a small gift or sweets and is very affordable",,,,,,,,,,,,,,,g,
lucky-in-love-four-leaf-clover-keyring,Lucky in Love Four Leaf Clover Keyring,"<p><span>A best friend, just like the person of your dreams is like a four leaf clover, hard to find and lucky to have! </span></p>
<p><span>Wish your guests the same luck with this lucky in love four leaf clover metal keyring .</span></p>
<p><br><span>Item size: 7,8 x 4,5 x 0,2 cm</span></p>",Macma,Practical,"four leaf clover, key, keyring, love, luck, lucky, metal, ring",true,Options,Engraved,,,,,92997,0,shopify,973,continue,manual,37.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/lucky_in_love.jpg?v=1491815441,1,Lucky clover keyring,false,,Lucky in love four leaf clover metal keyring  is a practical gift with a whimsical reference to how lucky you are to have each other.,,,,,,,,,,,,,,,kg,
the-original-love-bug-vw-beetle-bug-shaped-wedding-keyring,The Original Love Bug - VW beetle bug shaped  keyring,"<p><span>These adorable Love Bug Beetle Keyring holders are perfect for a couple who loves their car as much as they do each other or have nicknamed each other love bug.</span></p>
<p><span>The Original Love Bug keyring will make the perfect vintage or nostalgic at your wedding or event!</span></p>
<p><span>Car shaped metal keyring</span><br><span>Size: 7 x 5,1 x 0,2 cm<br><br>Keyring can be engraved, artwork set up is an additional R270 and engraving on each keyring R7.</span></p>",Macma,Gift,"car, car shaped, key, keyring, love, love bug, metal, modern, vintage",true,Title,Default Title,,,,,LBK04,0,shopify,1743,continue,manual,24.00,,true,true,"",https://cdn.shopify.com/s/files/1/1914/4329/products/The_original_love_bug_key_ring.jpg?v=1491815439,1,Love bug beetle keyring,false,,The Original Love Bug  keyring will make the perfect vintage or nostalgic  at your wedding or event and is practical,,,,,,,,,,,,,,,kg,
sweet-home-love-nest-keyring,Sweet Home - Love Nest -  Keyring,"<p>Newly married couples, starting a their lives together with a new home and a new future. Your wedding guests will instantly fall in love with these adorable Sweet Home Love Nest keyring s. They truly are the perfect wedding token to say thank you.</p>
<p>Delightfully designed and completely irresistible, your wedding guests will think of your wedding day every time they turn their keys.  Simply slip your keys through the ring and start using it. </p>
<p>These make for great house warming party s too!</p>
<p>Keys not included ;)</p>
<p><span>House shaped metal keyring </span>size: 7,6 x 4,8 x 0,2 cm</p>",Macma,Practical,"home, house, key, keyring, love nest, metal, ring, s",true,Title,Default Title,,,,,HK03,34,shopify,252,continue,manual,26.00,32.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/home_sweet_home_keyring.jpg?v=1491815438,1,Love Nest -  Keyring,false,,Sweet home love nest  keyrings symbolising the beginning of your lifes together. Perfect as s or housewarming parties.,,,,,,,,,,,,,,,g,
around-the-world-keyring,Around the World Keyring,"<p>Give your guests this beautiful travel-inspired keyring as a !</p>
<p>This keyring has the world map on the reverse side and can be engraved.</p>
<p>It is made from zinc alloy and has a shiny nickel finish, and features a rotating disc as well as a split ring.</p>
<p><strong>Personalised engraving can be done on this keyring at an additional cost - please enquire.</strong></p>
<p> </p>
<p><span> </span></p>",Kevro,Practical,"atlas, engraved, key, key ring, keyring, map, rotating, travel, wedding, world map",true,Title,Default Title,,,,,KAW023,0,shopify,53,deny,manual,30.00,35.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Around_the_world_keyring_2.png?v=1491815436,1,Around the World Keyring,false,,Our travel inspired 'Around the world' keyring is great practical gift. The world map is on the one side and the reverse can be engraved.,,,,,,,,,,,,,,,kg,
fluffy-fleece-blanket,Fluffy Fleece Blanket,"<p>Fluffy Fleece blankets that includes a handy carry pouch with drawstring.</p>
<p>Ideal for cold winter weddings and winter nights to keep your guests warm and enjoying your celebration for longer.</p>
<p>These can be reused by your guests as a picnic blanket or even soft warm sofa blanket.</p>
<p>The blanket measures 150cm  x 120cm </p>
<p>All blankets are sold in a black drawstring pouch that can be personalised (printing).</p>
<p>Please note - this item can be Personalised with printing on both the pouch and the blanket.  Artwork set up is R390 and then personalisation per item is R12.<br><br>Should you wish to Personalise your items please contact us for more details<br><br></p>",Amrod,Practical,"blanket, blankets, blue, cold, fleece, green, grey, navy blue, orange, personalize, personalized, red, soft grey, warm, winter",false,Color,green,,,,,Amrod - GIFT-9444,0,shopify,1068,deny,manual,99.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/blankets-winter-wedding-favors.png?v=1491815433,1,Fluffy Fleece Blanket ,false,,Fluffy Fleece blankets that includes a handy carry pouch with drawstring. Ideal for cold winter weddings and winter nights to keep your guests warm.,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Cuddle_blanket_Green.jpg?v=1491815433,kg,
fluffy-fleece-blanket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Cuddle_blanket_Green.jpg?v=1491815433,2,,,,,,,,,,,,,,,,,,,,
rectangle-metal-key-ring,Rectangle Metal keyring,"<p><span>Our new rectangular metal keyring. A perfect gift for the men at your wedding or if you want to say something personal to your guests - a ite quote or just plain and simply thank you!</span></p>
<p><br><span>Measures: 8,3 x 2,8 x 0,2 cm</span></p>
<p><span>Please note - this item can be Personalised by being engraved. <br>Should you wish to Personalise or engrave please contact us for more details.</span></p>",Macma,Practical,"engrave, engraved, key, key ring, men, metal, new, personal, personalize, personalized, quote, rectangular, ring",false,Title,Default Title,,,,,,20,shopify,62,continue,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/rectangular_keyring.jpg?v=1491815429,1,Rectangle Metal keyring,false,,Our new rectangular metal keyring. A perfect gift for the men at your wedding or if you want to say something personal to your guests,,,,,,,,,,,,,,,g,
flat-bottle-opener-key-ring,Flat Bottle Opener keyring,"<p><span>New metal bottle opener keyring. A perfect gift for the men at your wedding - say something personal to your guests - a ite quote or just say thank you!</span></p>
<p><span>Measures: 10,5 x 3 x 0,2 cm</span></p>
<p><span style=""line-height: 1.4;"">Please note - this item can be Personalised by being engraved. </span></p>
<p>Should you wish to Personalise or engrave please contact us for more details.</p>
<p> </p>
<p><br><br></p>",Macma,Practical,"bottle opener, engrave, engraved, gift, key, key ring, men, metal, new, opener, personalize, personalized, ring",true,Title,Default Title,,,,,,34,shopify,20,continue,manual,22.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/flat_bottle_opener_keyring.jpg?v=1491815426,1,Flat Bottle Opener keyring,false,,New metal bottle opener keyring. A perfect gift for the men at your wedding - say something personal to your guests,,,,,,,,,,,,,,,g,
bottle-shaped-multi-tool-key-ring,Bottle Shaped Multi Tool Keyring,"<p>Our new bottle shaped multi tool keyring in an aluminium casing is the perfect  for men at your wedding!</p>
<p>Multi Tool includes:</p>
<p>Knife, Corkscrew, Bottle opener or flat head screwdriver, Nail file/ awl and split ring</p>
<p> Measures 10.5  2.6 x 0.9cm </p>",Kevro,Practical,"bottle, bottle opener, corkscrew, keyring, knife, men, multi tool, nail file, new, opener, screwdriver",true,Color,blue,,,,,,0,shopify,6,deny,manual,28.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/red_2.png?v=1491815425,1,Bottle Shaped Multi Tool Keyring,false,,"Practical multi tool keyring in aluminium casing. Inludes knife, Corkscrew, Bottle opener or flat head screwdriver, Nail file/ awl and split ring",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/blue_red_and_silver.png?v=1491815425,kg,
bottle-shaped-multi-tool-key-ring,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/blue_red_and_silver.png?v=1491815425,2,,,,,,,,,,,,,,,,,,,,
medium-sized-jute-gift-bags,Medium sized Jute Gift Bags,"<p><span>The perfect eco friendly medium sized gift bag!</span><br><span>Made from natural jute material. </span></p>
<p><span>Open compartment that ties up with natural cording.</span><br><span>Unlaminated Jute</span></p>
<p>Perfect for the bridal party spa themed parties, kitchen teas, bridal showers, birthdays and many many more!</p>
<p><br><span>Measures: 17cm (w) x 5cm (d) x 13cm (h)</span></p>",Amrod,DIY,"bag, bridal, eco, eco friendly, gift bag, jute, medium, natural, spa",true,Title,Default Title,,,,,A-JGB01,10,shopify,998,deny,manual,22.00,25.00,true,false,,https://cdn.shopify.com/s/files/1/1914/4329/products/jute-gift-bag.jpg?v=1491815421,1,,false,,,,,,,,,,,,,,,,,g,
metal-handbag-hanger-with-mirror,Metal Handbag Hanger with Mirror,"<p><span>NEW metal handbag hanger  with a small fold up mirror. Comes packed in a small black gift box. Surprise those special guests with something unique and beautiful!</span></p>
<p><span>Engraving available on this item. POA</span></p>
<p><span>Measures: 4.6 x 1.4cm</span></p>",Macma,Practical,"handbag hanger, metal, mirror, unique",true,Title,Default Title,,,,,,0,shopify,100,deny,manual,70.00,100.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Handbag_hook_with_mirror_2.jpg?v=1491815419,1,,false,,,,,,,,,,,,,,,,,kg,
love-and-light-torch-s,Love and Light torch s,"<p>Our Love and Light torch s are practical and stylish and will come in very handy when the lights go out.</p>
<p>This gift is great for both men and ladies and is sure to provide them with that extra security when South Africa's infamous load shedding is implemented. This 9 LED metal torch with loop is sold in a black box and measures 8.8 x2.5 cm.<br><br>The torches can also be engraved and has a branding space of <span>3 x 1cm.  Engraving has a lead time of 3 weeks, and the artwork will be sent to you for approval prior to being finalised to ensure absolute customer satisfaction.</span><br><br>Note: Batteries not included</p>",Macma,Practical,"men, practical, torch",true,Colour,Black,,,,,81904,0,shopify,2055,deny,manual,36.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/Love_and_light_all.jpg?v=1491815417,1,Practical torch s,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Love_and_light_Black.jpg?v=1491815417,kg,
love-and-light-torch-s,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1914/4329/products/Love_and_light_Black.jpg?v=1491815417,2,,,,,,,,,,,,,,,,,,,,
little-piggy-bank,Little Piggy Bank,"<p><span>Looking for something for the kiddies at your wedding? This little transparent piggy bank is the perfect gift . What better way to inspire children to save!</span></p>
<p><span>Re-usable - removable plate underneath item.</span><br><span>Measures approximately 12.6cm x 10 x 10.1</span></p>",Macma,Practical,"children, gift, kiddies, piggy bank, save",true,Color,Red,,,,,,0,shopify,46,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/little_transparent_piggy_bank_1_1.jpg?v=1491815414,1,,false,,,,,,,,,,,,,,,,,kg,
miniature-beech-wood-cheese-or-serving-board,Miniature Beech Wood Cheese or Serving Board,"<p><span>These rustic miniature beech wood are perfect at a rustic, farm style or Mediterranean themed wedding. Delight your guests with this practical and useful . Your guests can use this gift as cheese, serving boards or even chopping boards for years to come.</span></p>
<p><br><span>Measures apprximately 23cm x 15cm x 1.7cm thick</span></p>
<p>CAN BE ENGRAVED! POA</p>",Macma,Practical,"beech wood, boards, farm style, gift, guests, mediterranean, miniature, practical, rustic, wood",true,Title,Default Title,,,,,,0,shopify,200,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/beech_cheese_board.jpg?v=1491815413,1,,false,,,,,,,,,,,,,,,,,kg,
spa-rty-pedicure-kit,Spa-rty Pedicure kit,"<p><span>Did someone say SPA-RTY! Having a spa themed bridal shower or pamper party? These miniature pedicure kits are the perfect gift  for the girls!</span></p>
<p><span>Pedicure set consisting of a brush, nail file, foot file and toe separator in a pvc case. </span></p>
<p><span>Measures approximately 17.3 x 6.3 x 4.8cm</span></p>",Macma,Pamper,"bridal shower, gift, pamper, pedicure, spa",true,Title,Default Title,,,,,,0,shopify,150,deny,manual,26.00,,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/sparty.jpg?v=1491815412,1,,false,,,,,,,,,,,,,,,,,kg,
soft-and-fleecy-cream-bathrobe,Soft and Fleecy Cream Bathrobe,"<p><span>Spoil that special someone with this soft cream bath robe to use when they are getting ready for their big day or special occasion.</span></p>
<p><span>Great pamper gifts to give to the mom-to-be or bride-to-be or mother of the bride or bridal party at the bridal shower or at a pamper party. </span></p>
<span>Soft polar fleece dressing gown/bathrobe.</span><br><span>Item size: 47 x 35 x 10 cm</span>",Macma,Pamper,"bath, bathrobe, bridal shower, cream, pamper, pamper party, robe",true,Title,Default Title,,,,,,1200,shopify,50,deny,manual,490.00,750.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/fleece_bath_robe.jpg?v=1491815411,1,,false,,,,,,,,,,,,,,,,,kg,
gold-and-wood-key-ring-last-stock,Metal and Wood Key ring - LAST STOCK,"<p><span>On sale now! This stylish metal and wood key ring  in gold can be engraved, great  gift for men.</span></p>
<p><span>Metal and wood combination key ring.</span><br><span>Item size: 7.7 x 3.2cm</span></p>",Macma,Practical,"gold, key, key ring, key rings, keyring, metal, sale, wood",true,Title,Default Title,,,,,,0,shopify,90,deny,manual,18.00,30.00,true,true,,https://cdn.shopify.com/s/files/1/1914/4329/products/gold_and_wood_ii.jpg?v=1491815404,1,,false,,,,,,,,,,,,,,,,,kg,
